WorkOrderNo    SoftWONo  TranNoRel      SOLineNo   QtyOrd                         WorkOrderNo;SoftWONo;TranNoRel;SOLineNo;QtyOrd;LineStatus;TranDate;PromiseDate;ItemID;ItemShortDesc;Hold;HoldReason;CustName;PrintedExpectShipRpt;QtyOnBO;QtyShip;QtyInvcd;QtyOpenToShip;OrderHold;OrderHoldReason
;;0000094033;2;1.00000000;Open;2019-06-12 00:00:00;2019-07-19 00:00:00;105-280;DLADA1933A0,5.5,DCR;False;;JUST CONSIGNED REPLENISHMENT;Y;.00000000;.00000000;.00000000;1.00000000;False;
00021891;;0000094033;3;1.00000000;Open;2019-06-12 00:00:00;2019-07-19 00:00:00;105-289;DLADA1933A0,6.5,DCR;False;;JUST CONSIGNED REPLENISHMENT;Y;1.00000000;.00000000;.00000000;1.00000000;False;
00020694;;0000092178;2;2.00000000;Open;2019-05-24 00:00:00;2019-07-11 00:00:00;105-297;DLADA1933A1,4.5,DCR;False;;JONES, WYNN O.        ;Y;2.00000000;.00000000;.00000000;2.00000000;False;
00020696;;0000092185;2;2.00000000;Open;2019-05-24 00:00:00;2019-07-11 00:00:00;105-297;DLADA1933A1,4.5,DCR;False;;JONES, WYNN O.        ;Y;2.00000000;.00000000;.00000000;2.00000000;False;
;;0000091181;2;1.00000000;Open;2019-05-06 00:00:00;2019-07-08 00:00:00;105-300;DLADA1933A1,5,DCC;False;;JONES, WYNN O.        ;Y;1.00000000;.00000000;.00000000;1.00000000;False;
00021665;;0000093627;5;4.00000000;Open;2019-06-12 00:00:00;2019-07-09 00:00:00;105-313;DLADA1933A1,6.5,DCR;False;;JUST CONSIGNED REPLENISHMENT;Y;4.00000000;.00000000;.00000000;4.00000000;False;
;00018435;0000094185;2;2.00000000;Open;2019-07-01 00:00:00;2019-07-10 00:00:00;105-313;DLADA1933A1,6.5,DCR;False;;TODD PIPE & SUPPLY LLC;Y;2.00000000;.00000000;.00000000;2.00000000;False;
;;0000093515;4;1.00000000;Open;2019-06-19 00:00:00;2019-08-09 00:00:00;105-351;DLADA1933A3,5.5,DCR;False;;HUGHES SUPPLY #519;Y;1.00000000;.00000000;.00000000;1.00000000;False;
;;0000093949;12;1.00000000;Open;2019-06-26 00:00:00;2019-08-07 00:00:00;105-351;DLADA1933A3,5.5,DCR;False;;WEBB COMPANY, F.W.;Y;1.00000000;.00000000;.00000000;1.00000000;False;
;00018423;0000094173;1;1.00000000;Open;2019-07-01 00:00:00;2019-07-11 00:00:00;105-355;DLADA1933A3,6,DCR;False;;FERGUSON ENT. #585;Y;.00000000;.00000000;.00000000;1.00000000;False;
00021833;;0000093970;5;7.00000000;Open;2019-06-27 00:00:00;2019-07-12 00:00:00;105-360;DLADA1933A3,6.5,DCR;False;;FERGUSON ENT. #55;Y;1.00000000;.00000000;.00000000;7.00000000;False;
00021509;;0000093465;1;1.00000000;Open;2019-06-18 00:00:00;2019-07-12 00:00:00;105-421;DLADA2025A1,5,DCR;False;;FERGUSON ENT. #603;Y;1.00000000;.00000000;.00000000;1.00000000;False;
00021809;;0000093939;2;2.00000000;Open;2019-06-26 00:00:00;2019-07-12 00:00:00;105-747;DLADA2133-16-3,5.5,DCR;False;;EXPRESS PIPE & SUPPLY;Y;2.00000000;.00000000;.00000000;2.00000000;False;
00021788;;0000093910;6;1.00000000;Open;2019-06-26 00:00:00;2019-07-11 00:00:00;105-819;DLADA2133A2,6,DRR;False;;FERGUSON ENT. #690;Y;1.00000000;.00000000;.00000000;1.00000000;False;
